group_name,project_name,branch_count,,,
bi-source,chant,1,,sqoop-1.4.6-cdh5.8.0,1
bi-source,bi-services,1,,deployment,1
bi-source,bi-ip,1,,sync-rb2mysql,1
bi-source,bi-express-queue,1,,monitors,1
bi-source,bi-express,1,,taskengine,1
bi-source,zeus,1,,juanpi_modules,1
bi-source,bi-connector,1,,erp,1
bi-source,bi-common,1,,flulu,1
bi-source,app_channel,1,,ufile-image,1
bi-source-bak,taoist,1,,flume-ext,1
bi-source-bak,spark-src,1,,logconsumer,1
bi-source-bak,script,1,,msgcenter,1
bi-source-bak,rpc-client,1,,jgt-json-rpc,1
bi-source-bak,naga,1,,bi-hawkeye,1
bi-source-bak,monk,1,,apc-polyfill,1
bi-source-bak,logconsumer,1,,juanpi-common,1
bi-source-bak,jugg,1,,datax,1
bi-source-bak,jpanalyzer,1,,bi-structure-platform,1
bi-source-bak,flulu,1,,favorites-goods-service,1
bi-source-bak,device-activation,1,,mysql_etl,1
bi-source-bak,canal-src,1,,a-tools,1
bi-source-bak,canal-client,1,,naga,1
bs.cart,dbexecutor-spi,1,,flowdatacompare,1
bs.cart,db-executor,1,,autocreatejavafile,1
bs.mbr,favorites-goods-service,1,,zeus_monitor,1
bs.mkt,mkt-event-job,1,,odps-tools,1
bs.mkt,mkt-domainloader,1,,canal-src,1
bs.mkt,mkt.2.0-spi,1,,open.juanpi.com,1
bs.mkt,mkt.2.0-processor,1,,juanpi-order-ETL,1
bs.mkt,mkt.2.0-domain,1,,opm,1
bs.order,juanpi-post-service,1,,apidoc,1
bs.order,order-compare,1,,bizclient,1
bs.order,juanpi-order-ETL,1,,rpc-client,1
bs.order,juanpi-order-service-omnipotent,1,,order-compare,1
bs.order,guides,1,,rtxoa,1
business,biz-service,1,,hive2hbase,1
DexterLab,IntelligentPhotoWall,1,,juanpi-order-service-omnipotent,1
DexterLab,ReactProjectTemplate,1,,hiveF,1
dm,jp_dm,1,,sample-service,1
FOG,qcloud-image,1,,actionhub,1
FOG,tideways-profiler,1,,bi-connector,1
FOG,image-proxy,1,,biz-service,1
FOG,ufile-image,1,,IntelligentPhotoWall,1
FOG,qiniu-image,1,,otter-column-diff-monitor,1
ia.configuration,config-service,1,,script,1
ia.configuration,config-web,1,,otter-jp,1
ia.configuration,doc,1,,bi-express,1
ia.kafka,kafka,1,,otter-jp-old,1
ia.lux,lux-web,1,,git-training,1
ia.lux,jetstream-esper,1,,pack,1
ia.lux,pulsar,1,,sermon,1
ia.lux,jetstream,1,,boyun,1
ia.lux,lux-store,1,,service-monitor,1
ia.lux,rest-api-doc,1,,http,1
ia.lux,lux-monitor,1,,zookeeper-clean,1
ia.lux,lux-kafka,1,,gitflow-demo,1
ia.lux,guides,1,,commons-tool,1
ia.lux,heroic-client,1,,hue,1
ia.lux,heroic,1,,config-service,1
ia.sdk,scripts,1,,PHP-FIG,1
ia.test,pms.docs,1,,elkmonitor,1
ia.test,guides,1,,juanpi-log-formatter,1
ia.test,test-maven3,1,,sparkdump,1
ia.test,git-training,1,,pms.docs,1
ia.test,gitflow-demo,1,,jcron,1
ia.test,account-parent,1,,presto-jdbc,1
ia.xuanyuan,bc-remote,1,,kafka,1
ia.xuanyuan,remoting,1,,ads-center,1
ia.xuanyuan,xuanyuan-mock,1,,syncgoodsinfo,1
ia.xuanyuan,xuanyuan-exercise,1,,productai,1
ia.xuanyuan,documentation,1,,taoist,1
ia.xuanyuan,juanpi-common,1,,production,1
images,download,1,,analysis-goodslabel-search,1
im.v2,bizclient,1,,JuanpiMobileAutomationTest,1
im.v2,production,1,,test-maven3,1
im.v2,protocol.v1,1,,huiguo,1
im.v2,utils,1,,tiny,1
im.v2,messenger,1,,protocol.v1,1
im.v2,protocol.v2,1,,kafka-src,1
IntelligentOffice,msgcenter,1,,protocol.v2,1
IntelligentOffice,jiraclient,1,,jetstream-esper,1
IntelligentOffice,wechatcorp,1,,abtest,1
IntelligentOffice,jcron,1,,umeng,1
IntelligentOffice,rtxoa,1,,canal-client,1
IntelligentOffice,push,1,,lms1.0,1
IntelligentOffice,juanpi_modules,1,,pulsar,1
IntelligentOffice,task,1,,user-insight,1
ios-shared,JPSpecs,1,,push,1
iOSTeam,secretLibrary4iOS,1,,logconsumser,1
JGT,debug-bar,1,,qadashboard,1
JGT,http,1,,logreceiver,1
JGT,jgt-json-rpc,1,,qcloud-image,1
JPSR,recommands,1,,wechatcorp,1
JPSR,image,1,,qiniu-image,1
juanpi_php,a-tools,1,,dan,1
logtech,lms1.0,1,,rb_sgoods_info,1
logtech,AppShell1.0,1,,jingpin-services,1
mapi_group,soaproxy,1,,bc-remote,1
mapi_group,mapi.juanpi.com,1,,datax-manager,1
mapi_group,mapi,1,,rdapclean,1
mapi_group,abtest,1,,db-executor,1
mapi_group,ads-center,1,,RDAP-M,1
opm,dan,1,,jiraclient,1
opm,opm,1,,ReactProjectTemplate,1
ops,maintenance,1,,applog.juanpi.com,1
phpsdk,sample-service,1,,realtimebo,1
phpsdk,apc-polyfill,1,,AppShell1.0,1
phpsdk,Logger,1,,RealTimeUserProfile,1
phpsdk,juanpi-log-formatter,1,,xuanyuan-mock,1
phpsdk,HessianPHP,1,,recommands,1
phpsdk,doc,1,,dbexecutor-spi,1
phpsdk,redis,1,,Recommend,1
phpsdk,utils,1,,zeus,1
qaDev,jpuitest,1,,redis,1
qaDev,WebTestFramework,1,,bi-services,1
qaDev,MobileTestFramework,1,,image,1
qaDev,qadashboard,1,,monk,1
qaDev,actionhub-ci,1,,mkt.2.0-domain,1
qaDev,actionhub,1,,bi-services1,0
scm,scmfiles,1,,ia.xuanyuan,0
system_dev,open.juanpi.com,1,,zeus-src2,0
system_dev,erp,1,,otter-otter-4.2.12,0
TechnologyCommittee,JPSR,1,,juanpi-trace-client,0
